Title,Company,Location,Date_Posted,Description,Link,Level
Estagiário - Dados,Lojas Renner S.A.,Greater Porto Alegre,2025-11-12,"Descrição da vagaVenha fazer parte da construção do maior ecossistema de moda e lifestyle da América Latina!Responsabilidades e atribuiçõesAuxiliar o time de Dados nas rotinas e demandas ligadas a análise e ciência de dados, assim como participar de projetos e agendas com as áreas clientes e parceiras. Se incluem no escopo do estagiário a consulta e manipulação de dados no Data Lake, análises diversas, execução de rotinas técnicas, trabalhar em conjunto com a equipe, que incluí analistas, especialistas e cientistas de dados em frentes ligadas a soluções de forecast.Requisitos e qualificaçõesEstar cursando algum curso ligado a dados, tecnologia, estatística e afins;Noções de SQLTer disponibilidade para estagiar 6 horas diárias;Desejável:PythonSparkModelagem de dadosInformações adicionaisLocal: Porto Alegre/RSModelo: HíbridoComunidade ENCANTECH. Dados, Digital e Tech.Desafios aplicados na realidade.Códigos que ganham vida e viram experiências.Ferramentas de ponta a nível mundial.Desafios para aprender, crescer e transformar.O que te faz vibrar? Aqui na Lojas Renner SA, nós vibramos quando encantamos.Seja por aprender algo novo no meio da rotina de trabalho ou por lançar uma nova solução que impacta de forma relevante a vida dos nossos clientes.Somos a união e conexão das áreas de Dados, Canais Digitais e T.I. 🚀Juntos, somos a Comunidade Encantech. Uma comunidade plural de pessoas apaixonadas por superar expectativas.Com uma cultura orientada a dados e a diferentes metodologias e frameworks, utilizamos a transformação digital para construir o maior Ecossistema de Moda e Lifestyle das Américas.Somos comprometidos com tecnologia, inovação, dados, sustentabilidade.Somos comprometidos com o futuro.Porque aqui suas ideias geram impacto real na vida das pessoas e valor ao negócio.E assim te fazemos um convite: Construa com a gente, o futuro da moda HOJE!Vem transformar! Vem encantar e ser encantado junto com a gente.Vem as áreas de tecnologia, dados e digital da Lojas Renner S.A! 😍#OQueTeEncantaNosEncanta#Encantech",https://br.linkedin.com/jobs/view/estagi%C3%A1rio-dados-at-lojas-renner-s-a-4340006115?position=1&pageNum=2&refId=dqa2xo1r5EavV27q4Aa%2BDA%3D%3D&trackingId=qV7bfuWjc%2Fwp1xlasG%2BcLw%3D%3D,Estágio
Analista de Ciências de dados Pleno,Cielo,"Barueri, São Paulo, Brazil",,"Somos mais que uma máquina, somos pessoas que transformam ecriam infinitas possibilidades.Trabalhamos parasimplificar e impulsionar negócios para todas as pessoas, oferecendo soluções financeiras inteligentes. Aqui, investimos emtecnologia, promovemosdesenvolvimentoe fomentamos ainovaçãopara criar novos caminhos possíveis e gerar impacto positivo no mundo.Na Cielo, a gente trabalha comautonomiapara escrever nossa própria jornada,liberdadepara ser quem a gente é, e a oportunidade defazer acontecer. Somos um time quesonha no plural, oferecendo uma experiência completa e focando no bem-estar físico e mental de nossos mais de 7.000 colaboradores e suas famílias.Acreditamos nainclusão e acolhimentode todas as pessoas, com suas singularidades e diversidade de vivências.Conheça mais sobre a área:Responsável por apoiar a construção e manutenção dos modelos de propensão de produto e perfis de clusters correlatos, visando garantir o direcionamento correto dos produtos de prazo para o cliente e otimização de conversão da força comercial, baseando-se nas principais técnicas de modelagem analítica e estatística avançadas, assegurando rentabilidade para a companhia.Bora realizar seus sonhos com a gente!Juntos com você, em infinitas possibilidades.Responsabilidades e atribuiçõesTem lugar para você nesse propósito:Apoiar análises do time de modelagem por meio de desenho de construção e features para a área de Produtos de Prazo Varejo;Mapear necessidades das áreas de negócios, avaliar necessidades de dados, construir códigos analíticos e acompanhar a implementação das análises;Auxiliar o desenvolvimento e implementação de modelos preditivos e analíticos utilizando técnicas;Avançadas de machine learning e estatística, identificando padrões, tendências e oportunidades de otimização;Colaborar com equipes multidisciplinares para traduzir problemas de negócios em soluções de modelagem de dados;Interpretar os resultados dos modelos e comunicar insights de forma clara para partes interessadas internas e externas.Requisitos e qualificaçõesO que o #TimeCielo espera de você?Superior Completo: Ciência da Computação, Estatística, Engenharia ou áreas relacionadas;Conhecimento avançado de linguagens de programação (SQL, SAS, Python e/ou R), Excel e Powerpoint;Experiência trabalhando com métodos analíticos avançados (exemplo: deep learning e otimização);Boas noções de Power BI (ou outras ferramentas de automatização de dashboards);Experiência na criação e gestão de KPIs financeiros e operacionais do negócio;Capacidade de comunicar resultados complexos de análises de forma clara e concisa;Ser orientado a resultado, buscando sempre a melhoria dos processos existentes.Informações adicionaisPor que viver infinitas possibilidades ao nosso lado?Assistência Médica e Odontológica;Remuneração Variável Anual (PPR);Auxílio Refeição e Alimentação;Fretado/vale-transporte ou estacionamento;Modelo Híbrido;Auxílio Trabalho Remoto;Seguro de Vida;Seguro residencial e automóvel;Assistência funeral familiar;Previdência Privada;Canal de apoio à especialistas (nutrição, psicologia, ginecologia, etc);Campanha de Vacinação;Acesso à diversos cursos em nossa plataforma Educa;Wellhub;Programa de Gestação Saudável;Licença Maternidade e Paternidade estendida;Auxílio Creche;Day Off de Aniversário;Dress Code Flexível;Horário Flexível;Sexta curta;Almoço estendido (1h30).",https://br.linkedin.com/jobs/view/analista-de-ci%C3%AAncias-de-dados-pleno-at-cielo-4337899562?position=2&pageNum=2&refId=dqa2xo1r5EavV27q4Aa%2BDA%3D%3D&trackingId=8qg3stQ6NXIb3opm9vSVmQ%3D%3D,Pleno
Fraud Data Analyts SR,Livelo Brasil,"Barueri, São Paulo, Brazil",2025-11-17,"Se você procura uma empresa com ambiente inovador e desafiador, que incentiva criatividade e autonomia para ultrapassar barreiras e conquistar resultados, você poderá juntar-se ao nosso time de #LoucosPorPontos! As nossas soluções de incentivos e fidelização incluem centenas de milhares de produtos e serviços, e os nossos profissionais são parte central do ecossistema da Livelo – verdadeiros agentes realizadores da nossa visão:somamos felicidade às escolhas do dia a dia para oferecer, para cada pessoa, a melhor recompensa.Buscamos profissionais engajados e estrategistas, que sonham alto e fazem acontecer para colecionar sucessos com o nosso time :)Todas nossas vagas abertas são para todas as pessoas independente de gênero, idade, etnia, raça, orientação sexual ou deficiência.Missão do cargoAtuação na área de estratégia de prevenção a fraudes, time responsável por realizar estudos, criação e manutenção de regras, estratégias em árvore de decisão para detecção perdas financeiras relacionadas a fraudes transacionais.Responsabilidades e atribuições• Desenvolvimento de estudos por meio de manipulação em bancos de dados para identificação de perfis de fraudadores em tableau, bigquery, SqlDeveloper etc;• Criação e manutenção de regras em ferramentas transacionais de prevenção em SQL e Pyton;• Responsável por indicadores, KPIs e OKRs de estratégia de prevenção a fraudes;• Realização de estratégias de prevenção a fraudes na implantação novos produtos;• Utilização de IA para realização de estudos, identificação de padrões e diminuição do falso positivo.Requisitos e qualificações• Aprendizagem contínua para detecção da evolução da fraude;• Pessoa analítico para realizar estudos estatísticos e aderência na detecção da fraude;• Conhecimento em estratégia, criação e manutenção de regras para prevenção a fraudes (Em marketplace de preferência);• Conhecimento em ferramentas como Tableau, Bigquery, Data Studio;• Linguagem da programação SQL (Imprescindível) e Python (Diferencial).Informações adicionaisAlelo Alimentação e Alelo Refeição;Benefícios de mobilidade para modelo de trabalho híbrido (Vale Transporte, Reembolso de fretado, Vale combustível e Pedágio);Alelo Cultura;Previdência Privada;PPR;Assistência Médica e Odontológica Bradesco Saúde;Auxílio creche/babá;Zenklub;Gympass/Wellhub;Seguro de Vida;Premiações com Pontos Livelo, além de descontos em nossos produtos;Incentivo Educação (pós-graduação, MBA e cursos de inglês) após 1 ano de empresa;Day Off para o colaborador no mês do aniversário e meio day off no aniversário do filho(a);Happy Friday (nas sextas-feiras saímos 1h mais cedo) e Summer Dreams (e nas sextas-feiras de verão, 4h mais cedo);Espaço massagem, manicure e barbearia;Cafés e frutas no escritório;Programa de Reconhecimento;Ambiente de trabalho criativo, desafiador e descontraído reconhecido como uma das melhores empresas para se trabalhar pela GPTW 2025.",https://br.linkedin.com/jobs/view/fraud-data-analyts-sr-at-livelo-brasil-4340952440?position=3&pageNum=2&refId=dqa2xo1r5EavV27q4Aa%2BDA%3D%3D&trackingId=xO1Zg%2BuisKmJsbMZs%2FqWgQ%3D%3D,Senior
ASSISTENTE TECNICO ADMINISTRATIVO,G4F,"Brasília, Federal District, Brazil",2025-11-12,"Estamos buscando um talento para a posição deASSISTENTE TECNICO ADMINISTRATIVOA G4F é uma empresa com uma trajetória sólida de 15 anos, dedicada a conectar pessoas, ideias e tecnologia para oferecer soluções inovadoras. Somos mais de 8.000#greatersatuando em todo o Brasil.Sobre a vagaPrincipais AtividadesPlanejar e executar análises estatísticas e quantitativas com base em grandes volumes de dados;Desenvolver modelos preditivos e relatórios automatizados para apoio à tomada de decisão;Manipular, limpar e integrar bases de dados provenientes de diferentes fontes;Aplicar métodos de amostragem e inferência estatística, garantindo a qualidade dos resultados;Desenvolver rotinas e scripts em Python, além de utilizar ferramentas como SAS, R e SPSS;Elaborar visualizações e painéis gerenciais que sintetizem informações de forma clara e estratégica;Apoiar a área em projetos de transformação digital e melhoria de processos baseados em dados;Garantir a integridade, segurança e rastreabilidade das informações analisadas;Executar outras atividades correlatas à função, conforme demanda da área de lotação.Requisitos ObrigatóriosFormação superior completa em estatística, ciência de dados, TI ou áreas afins;Experiência anterior em atividades relacionadas à área administrativa ou analítica, no setor público ou privado, com atuação em funções de nível superior;Domínio da linguagem Python;Conhecimento em SAS, R e/ou SPSS;Técnicas de amostragem, inferência estatística, regressão e análise multivariada;Experiência em manipulação e estruturação de bases de dados, modelagem estatística e geração de relatórios automatizados;Conhecimento em Ciência de Dados, Métodos Quantitativos, Estatística e Tecnologia da Informação.Competências DesejadasExcelentes habilidades de relacionamento interpessoal e comunicação assertiva com diferentes níveis hierárquicos;Perfil dinâmico, com capacidade de gerenciar múltiplas demandas simultaneamente;Habilidade organizacional para controle eficaz de prazos, agendas e entregas;Proatividade, foco em resultados e visão analítica;Atenção a detalhes, comprometimento e ética profissional;Desejável familiaridade com processos de análise de dados aplicados à administração pública.Benefícios e OportunidadesPacote de remuneração competitivo.Programa de desenvolvimento profissional, com treinamentos, mentoria e oportunidades de crescimento.Ambiente de trabalho colaborativo, com foco em inovação e melhoria contínua.Plano de saúde, seguro de vida e outros benefícios corporativos.Informações Adicionais🤍 Plano de saúde e Odontológico🚀Oportunidades de desenvolvimento profissional🍔Vale Alimentação/Refeição | Wiipo Flex👓Parceria SESC | Saúde, Lazer, Turismo & Esportes, Assistência Social e Alimentação📕Parcerias Educacionais🤍Seguro de vida#VemSerGreaterValorizamos a diversidade, equidade e a inclusão, independentemente de gênero, raça, etnia, orientação sexual, deficiência ou religião, portanto,todas as nossas vagas são afirmativas.Junte-se à nossa equipe e contribua para o crescimento sustentável da G4F!💙",https://br.linkedin.com/jobs/view/assistente-tecnico-administrativo-at-g4f-4322183014?position=4&pageNum=2&refId=dqa2xo1r5EavV27q4Aa%2BDA%3D%3D&trackingId=G9ghcPIyga%2Fb7InzAoJOFg%3D%3D,Outros
Analista Socioambiental – Dados e Indicadores Sociais - SP/MG,Synergia Consultoria Socioambiental,Greater São Paulo Area,2025-11-08,"A Synergia valoriza e apoia a diversidade, inclusão e equidade.Nossas vagas são aplicáveis a todas e todos, pessoas com ou sem deficiência, e independente de orientação afetivo-sexual e identidade de gênero, classe social, geografia, raça, etnia, crenças ou quaisquer outras condições, posicionamentos e características.Candidate-se!!Buscamos pessoas comunicativas, determinadas, ágeis e que gostem de trabalhar com pessoas!Principais Desafios:Apoiar na análise descritiva de dados primários e secundários (surveys, bases do IBGE, DataSUS, etc.);Realizar tratamento e consistência de bases de dados utilizando Python ou R;Apoiar na visualização de dados por meio de tabelas, gráficos e dashboards em Power BI;Contribuir na redação de relatórios técnicos e analíticos, com foco em diagnósticos de vulnerabilidade social;Participar do acompanhamento de campo, apoiando o controle de amostras e a validação dos dados coletados.Formação necessária:Superior completo em Estatística, Ciências Sociais, Economia, Saúde Coletiva, Engenharia de Produção, Ciência de Dados ou áreas correlatas;Conhecimentos e experiência necessária:Experiência com análise de dados sociais e/ou populacionais;Domínio de ferramentas de análise estatística (Python ou R);Conhecimento em Power BI ou outras ferramentas de visualização de dados;Habilidade na redação de documentos técnicos e analíticos;Desejável experiência com coleta de dados em campo.Outras informações:Disponibilidade para atuação em campo;CNH B e prática em direção veicular;Disponibilidade total para viagens.",https://br.linkedin.com/jobs/view/analista-socioambiental-%E2%80%93-dados-e-indicadores-sociais-sp-mg-at-synergia-consultoria-socioambiental-4335021098?position=5&pageNum=2&refId=dqa2xo1r5EavV27q4Aa%2BDA%3D%3D&trackingId=Vee%2FLeadHXgfH%2Fz3yUSrEg%3D%3D,Outros
Analista de Dados e BI,Sicoob,"Brasília, Federal District, Brazil",2025-10-19,"Sobre a EmpresaÉ possível transformar o mundo?Com o Sicoob, Sistema de Cooperativas de Crédito do Brasil, essa mudança é diária, real e tem explicação: o cooperativismo!Afinal, ninguém muda o mundo sozinho, e aqui somos mais de 9 milhões de cooperados.Somos uma cooperativa financeira que oferece tudo que um banco tem com melhores condições e com mais de 4,6 mil pontos de atendimento distribuídos em todo o Brasil.Propósito e VisãoPropósito: Conectar pessoas para promover justiça financeira e prosperidade.Visão: Proporcionar a melhor experiência financeira aos cooperados.Aqui promovemos a diversidade, equidade, inclusão e valorizamos as diferenças. Por isso, nossas vagas estão abertas para todas as pessoas, independente de gênero, orientação sexual, crenças, raça/etnia, condições físicas e mentais ou idade.Horário:De segunda a sexta, das 9h às 18hContratação:Tenured - CLT labor codeNível:Not InformedDescrição e ResponsabilidadesA área deComercial de Crédito e Serviçosé responsável pela promoção comercial, desenvolvimento de produtos, ações de mercado e capacitação das cooperativas centrais e singulares do Sicoob, com foco nos produtos de crédito – sejam eles geridos pelas próprias cooperativas ou pelo CCS.AtividadesColetar, organizar, tratar e interpretar grandes volumes de dados de múltiplas fontes (internas e externas), gerando insights para suporte à tomada de decisão;Desenvolver e manter dashboards e relatórios gerenciais em ferramentas de BI (como Power BI, IBM Cognos, Databricks), com KPIs alinhados às necessidades das áreas de negócio;Automatizar fluxos de extração, transformação e carga de dados (ETL/ELT), utilizando ferramentas como Python, SQL e afins;Criar rotinas de integração entre sistemas internos e externos, promovendo centralização e cruzamento eficiente dos dados;Atuar de forma consultiva com os gestores de crédito, compreendendo demandas e propondo soluções analíticas e automatizadas;Documentar os processos de BI e automação, garantindo rastreabilidade, qualidade dos dados e conformidade com as políticas de segurança da informação;Monitorar a performance das rotinas e relatórios automatizados, ajustando continuamente para manter eficiência e precisão dos resultados;Apoiar reuniões de planejamento com foco em dados, acompanhando o desempenho das plataformas de BI e propondo melhorias contínuas;Executar mensalmente os fechamentos da carteira de crédito, consolidando dados e assegurando consistência nas informações reportadas.RequisitosRequisitos Obrigatórios:Ensino superior completo nas áreas de Administração, Matemática, Economia, Informática ou Engenharia;Experiência com atividades analíticas, incluindo elaboração de controles, geração de indicadores, desenvolvimento de processos e construção de dashboards, relatórios ou automações em Excel ou Power BI.Conhecimento prático em SQL ou Python para manipulação e análise de dadosConhecimento em Pacote Office.Requisitos DesejáveisConhecimento em ferramenta SAS;Noções de Machine Learning aplicadas à análise de dados;Familiaridade com a plataforma Databricks.Centro Cooperativo Sicoob - CCSBenefícios:Auxílio-Creche/ Babá, Bolsa de Estudos para Graduação e Pós-Graduação, Cesta Natalina, Day off - fim de ano, Licença maternidade estendida, Licença paternidade estendida, Participação nos Resultados (anual), Plano de Saúde, Plano Odontológico, Previdência Privada Multipatrocinada, Programa de Desenvolvimento de Soft e Hard Skills, Programa de Mobilidade Interna - Match Oportunidades Internas, Programa Viver Bem, Seguro de Vida, Universidade Corporativa Sicoob, Vale-alimentação, Vale-refeição, Vale-transporte (opcional), Wellhub",https://br.linkedin.com/jobs/view/analista-de-dados-e-bi-at-sicoob-4317008637?position=6&pageNum=2&refId=dqa2xo1r5EavV27q4Aa%2BDA%3D%3D&trackingId=PezY0ss5qXRsFLsFMTNVyA%3D%3D,Outros
Especialista de Inteligência Competitiva - São Paulo/SP,Shopee,"São Paulo, São Paulo, Brazil",2025-11-12,"About The TeamSobre a ShôAqui na Shô, acreditamos que cada membro de nossa equipe é fundamental para o nosso sucesso, e que diversidade de perspectivas e vivências são essenciais para movimentar nosso negócio e impulsionar o nosso propósito de mudar o mundo para melhor.Fazer parte do nosso time é a oportunidade de se desenvolver dentro de uma cultura de muita agilidade. Se você ama assumir grandes responsabilidades e fazer o que nunca foi feito, a Shô é seu lugar. Aqui você terá grandes desafios, trabalhará em colaboração com um time diverso e contribuirá para o futuro do e-commerce no Brasil, criamos impacto positivo na vida de milhões de pessoas.Modelo de TrabalhoAdotamos um modelo de trabalho híbrido, esse modelo permite que as pessoas ajustem seu ambiente de trabalho de acordo com suas necessidades pessoais, ao mesmo tempo em que promove a colaboração e interação no escritório.Qual será a sua missãoGerar insights estratégicos transformando dados de concorrentes e do mercado em recomendações claras e acionáveis que apoiem o crescimento dos negócios da Shopee.Job DescriptionComo será o seu dia a diaRealizar análises aprofundadas sobre estratégias de concorrentes, sortimento, precificação e alavancas de crescimento;Construir e manter cronogramas estratégicos e perfis de concorrentes-chave;Traduzir sinais de mercado e dados competitivos em insights claros para o negócio;Colaborar com times internos para melhorar a visibilidade sobre a performance dos concorrentes (ex.: receita, resultados financeiros, pedidos, participação de mercado);Estruturar e apresentar relatórios e recomendações em nível executivo;Identificar riscos e oportunidades com base na dinâmica do mercado e nas mudanças de comportamento dos consumidores;Apoiar stakeholders internos com análises pontuais e benchmarks estratégicos;Forte conhecimento de SQL (obrigatório) e experiência com grandes volumes de dados;Pensamento analítico sólido e boa visão de negócios;Capacidade de atuar de forma transversal e gerenciar múltiplas prioridades;Excelentes habilidades de comunicação e storytelling (escritas e verbais).RequirementsO que você precisa para assumir o desafioFormação exigida em Engenharia, Administração de Empresas, Marketing ou áreas relacionadas;SQL avançado; conhecimento avançado em Microsoft Office e Excel;Experiência com grande volume de dados;Inglês avançado (para conversação).BenefíciosAssistência médica e odontológica, estendendo-se aos dependentes;Parceira com Gympass e TotalPass;Vale Refeição/Alimentação flexível;Vale Transporte, Vale Mobilidade ou Estacionamento no local;Benefício flexível;Zenklub;Bônus anual discricionário, atrelado à performance.VEM FAZER HISTÓRIA COM A GENTE.O QUE TE FAZ ÚNICO, NOS FAZ MELHORES! 🧡N-A60",https://br.linkedin.com/jobs/view/especialista-de-intelig%C3%AAncia-competitiva-s%C3%A3o-paulo-sp-at-shopee-4273249014?position=7&pageNum=2&refId=dqa2xo1r5EavV27q4Aa%2BDA%3D%3D&trackingId=zSVuONTv23iJRcSpcRHtgw%3D%3D,Especialista
Analista de clientes corporativos,Deloitte,"São Paulo, São Paulo, Brazil",2025-11-04,"DescriçãoVocê terá a oportunidade de evoluir sua carreira na maior organização de serviços profissionais do mundo atuando comoAnalista Pleno de Growth/Business Intelligence,na área deClients & Industries.Na sua rotina, você irá:Mensuração de performance e resultados da FirmaAjudar a projetar, desenvolver e implementar análises de indicadores que desafiem e suportem as lideranças no planejamento estratégico de mercado atual e futuroAvaliar os processos e atividades da área de Performance, propondo melhorias contínuas e buscando eficiência na execução com o objetivo de otimizar tempo e esforço na execução;Análise de requisitos para desenvolvimento de novas ferramentas e aplicações de BIConhecer, gerenciar e ser ponto focal dos sistemas do departamentoAtuar nas solicitações de relatórios, apresentações executivas e ajustes nos dashboards solicitados pelos stakeholders internosSuporte às liderança da Firma com relação aos assuntos e ferramentas de PerformanceAcreditamos na força dos talentos que preparamos. Eles transformam de fato, impactam organizações, impulsionam mais talentos e criam oportunidades. Que tal fazer parte da maior organização de serviços profissionais do mundo?Escolha seu impacto.RequisitosO que precisa para você se candidatar à vaga?Formação superior completa – Administração, Economia, Engenharia, Ciências da Computação, Estatística, Matemática e áreas correlatas;Experiência com ferramentas de Bi, de preferência Qlik Sense (Qlik Sense ou Power BI);MS Excel e Power Point – avançado;Inglês – Intermediário/avançado;Soft Skills – Ser uma pessoa criativa, proativa, com boa comunicação verbal e escrita, analítica, crítica, organizada, com raciocínio lógico, trabalha colaborativamente, resiliente.Diferencial:Automação em Python;Desenvolvimento de dashboard em Qlik Sense.BeneficiosDesenvolvimento profissionalÉ claro que cuidaríamos do seu desenvolvimento aqui na Deloitte! Queremos que você alcance seus objetivos profissionais e pessoais e, por isso, contamos com acesso a plataformas online de aprendizado, plataforma de idiomas com mais de 7.500 conteúdos e cerca de 60 cursos divididos por nível, área de atuação, habilidades profissionais e interesses, Universidade Corporativa e até uma plataforma que reúne diversas instituições de ensino, fornecendo descontos exclusivos para profissionais Deloitte e seus dependentes.Além disso, oferecemos um plano mentorias com profissionais da Deloitte para que você possa ter uma visão complementar e direcionamentos sobre o seu crescimento. É ótimo ter uma pessoa mentora, não é mesmo?Cuidados com o seu bem-estarAqui na Deloitte, acreditamos que saúde e bem-estar não são apenas projetos, e sim uma mudança de cultura. Queremos que você coloque em prática todo o seu talento e desenvolva uma carreira de sucesso com a gente, com equilíbrio entre Mente, Corpo e Propósito. Para isso, contamos com mais de 30 benefícios, como:Serviço de telemedicina para que você consiga fazer uma pré-avaliação sem precisar sair de casa!Family Strategy: programa destinados à profissionais gestantes e futuros papais que terão todo apoio possível neste momento tão especialWellhub (Gympass) para colocar os exercícios físicos em diaDia de folga no mês do seu aniversário, para celebrar uma das pessoas mais importantes de sua vidaCanal de apoio psicológico e Serviço Social(Mais) BenefíciosAssistência médica e odontológica! Para que você faça check-ups e cuide de você, em primeiro lugar*Participação nos lucros. Afinal, sem os nossos talentos, não poderíamos crescer exponencialmenteAuxílio-internet, para apoiar no trabalho em modelo híbridoSeguro de vida*Vale refeição / alimentação**Pacote de benefícios flexíveis: você receberá pontos e poderá distribui-los entre as opções que melhor se adequam às suas necessidades de acordo com as regras do programa.Oportunidade de fazer parte de uma cultura inclusivaVocê pode ser quem realmente é com oportunidade igual de crescimento. Para reforçar esse compromisso, desenvolvemos a estratégia global de D&I com os 5 pilares – Origens, Delas, LGBT+, Inclui e Gerações.Destacamos que todas as nossas vagas estão abertas ao público PcD.Esperamos você neste time!",https://br.linkedin.com/jobs/view/analista-de-clientes-corporativos-at-deloitte-4334240242?position=8&pageNum=2&refId=dqa2xo1r5EavV27q4Aa%2BDA%3D%3D&trackingId=CGfM32vcaGYB2ASMQPtFCg%3D%3D,Outros
Analista de Dados - Remota,Mesha Tecnologia,Brazil,2025-10-10,"Descrição da vagaCom mais de 15 anos de trajetória, a MESHA Tecnologia se posiciona como parceira estratégica na transformação digital de empresas em todo o Brasil. Nossa essência é guiada por valores sólidos que colocam o ser humano no centro — diversidade, meritocracia e valorização de talentos — criando um ambiente que une profissionalismo e proximidade.Atuamos no desenvolvimento de soluções completas em tecnologia, desde a fábrica de software, que entrega projetos sob medida com agilidade e qualidade, até a formação de equipes de dados capazes de transformar informação em inteligência para decisões estratégicas. Além disso, estruturamos a alocação de profissionais e squads de alta performance, presenciais ou remotos, sempre alinhados às necessidades e objetivos de cada cliente.Mais do que fornecer tecnologia, a MESHA constrói relações duradouras, gerando impacto real e ajudando empresas a alcançarem novos patamares de eficiência e inovação.HabilidadesProatividade;Facilidade de comunicação.Responsabilidades e atribuiçõesDesenvolver e manter ETLs e Dashboards;Gerenciar volume, variedade, velocidade e veracidade dos dados;Criação de Queries em SQL;Suporte ao usuário dos dashboards.Requisitos e qualificaçõesDesenvolver e manter ETLs e Dashboards;Gerenciar volume, variedade, velocidade e veracidade dos dados;Criação de Queries em SQL;Suporte ao usuário dos dashboards;Arquitetura e estruturas de dados.DiferenciaisExperiência em pipelines de fluxo de dados utilizando ferramentas de ETL como Pentaho, SSIS, etc;Conhecimento em tecnologias de Big Data incluindo Hadoop, Spark;Experiência nas ferramentas de tecnonologias de Dados da Azure (Data Lake Storage, Azure Data Factory, Synapse Analytics, Azure Databricks);Ter atuado previamente na construção de um Data Lake;Controle de versões Git.Informações adicionaisBENEFICIOS:Day-off e vale compras no aniversário;Incentivo Educacional;Mesha Fitness;Cultura colaborativa, de gestão horizontal e incentivo à troca de feedbacks.Dinamismo e abertura para troca de ideias e experiências.Remuneração compatível com a nível mercado.MODELO REMOTA[Job ID: 18485]",https://br.linkedin.com/jobs/view/analista-de-dados-remota-at-mesha-tecnologia-4312861310?position=9&pageNum=2&refId=dqa2xo1r5EavV27q4Aa%2BDA%3D%3D&trackingId=rrz2qJR7m52onO9JpiSv%2Fw%3D%3D,Outros
Analista de dados,KHS Brasil,"São Paulo, São Paulo, Brazil",2025-11-12,"Atividades:Atuar em compras e T.I desenvolvendo relatórios e banco de dados, automatizar processos, implementação de ferramentas na matriz e no Brasil, melhoria contínua de processos apoiando outros departamentos.Experiência em levantamento de requisitos e entendimento de problemas de negócio com capacidade de traduzir soluções baseadas em dados.Vivência com indicadores de desempenho, planejamento de compras e auditoria de processos.Apoiar a tomada de decisão utilizando dados, orientando as áreas sobre a forma mais adequada de consumo e qual o dado mais adequado para cada situação de negócio.Realizar análises exploratórias e identificar padrões, tendências e oportunidades de melhoria.Requisitos:Ensino superior completo em Estatística, Matemática ou Engenharia da Computação;Ferramentas de BI: Power BI, Tableau;Linguagens de programação: Python, R, SQL;Conhecimento com ERP SAP;Disponibilidade para viagens internacionais;Inglês avançado.Beneficios:Vale-transporte / Fretado / Estacionamento;Refeição no local / Vale Alimentação;Convênio Médico / Convênio Odontológico / Convênio Farmácia / Seguro de vida;TotalPass / Previdência Privada / PLR;",https://br.linkedin.com/jobs/view/analista-de-dados-at-khs-brasil-4322082888?position=10&pageNum=2&refId=dqa2xo1r5EavV27q4Aa%2BDA%3D%3D&trackingId=Xx%2FLPCLRunq2yWIoztbopw%3D%3D,Outros
